statement,label
Marie Curie won a Nobel Prize in Mathematics.,fake
The Great Wall of China was completed in 1921.,fake
Abraham Lincoln served three full presidential terms.,fake
The Titanic successfully completed its maiden voyage.,fake
World War I ended in 1925.,fake
Julius Caesar invented the leap year calendar in 10 AD.,fake
The Berlin Wall was built in 1945.,fake
Albert Einstein failed mathematics in university.,fake
Cleopatra was born in Rome.,fake
The United Nations was founded in 1910.,fake
The Statue of Liberty was a gift from Germany.,fake
The printing press was invented in the 1800s.,fake
The Roman Empire fell in 1492.,fake
Isaac Newton discovered electricity.,fake
The first moon landing happened in 1965.,fake
The American Civil War started in 1890.,fake
The Eiffel Tower was built in London.,fake
Nelson Mandela won the Nobel Prize in 1980.,fake
The Cold War officially ended in 2005.,fake
George Washington had wooden teeth made entirely of oak.,fake
The Berlin Wall fell in 1989.,real
The Titanic sank in 1912.,real
The Great Molasses Flood occurred in Boston in 1919.,real
Australia once fought the Great Emu War in 1932.,real
Nintendo was founded in 1889.,real
The Wright brothers achieved powered flight in 1903.,real
The first email was sent in 1971.,real
The Magna Carta was signed in 1215.,real
The Soviet Union dissolved in 1991.,real
The first iPhone was released in 2007.,real
The French Revolution began in 1789.,real
The Internet became publicly accessible in the early 1990s.,real
The Panama Canal opened in 1914.,real
The Declaration of Independence was signed in 1776.,real
The Hubble Space Telescope launched in 1990.,real
The first modern Olympic Games were held in 1896.,real
The Great Fire of London occurred in 1666.,real
The first human in space was Yuri Gagarin in 1961.,real
The European Union was established in 1993.,real
The first programmable computer was developed in the 1940s.,real
