model,model_short,statement,label,verdict,confidence,outcome,raw_response
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,Marie Curie won a Nobel Prize in Mathematics.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""Marie Curie won Nobel Prizes in Physics and Chemistry, but there is no Nobel Prize in Mathematics""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,The Great Wall of China was completed in 1921.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""The Great Wall of China was built in multiple stages over several centuries, with the first versions being constructed as early as the 7th century BC. The most famous and well-preserved versions were built during the Ming Dynasty (1368-1644). Therefore, it is not possible for the Great Wall to have been completed in 1921.""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,Abraham Lincoln served three full presidential terms.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""Abraham Lincoln served only one full term and was assassinated early in his second term.""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,The Titanic successfully completed its maiden voyage.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""The Titanic sank on April 14, 1912, after colliding with an iceberg during its maiden voyage, so it did not complete it successfully.""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,World War I ended in 1925.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""World War I ended on November 11, 1918""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,Julius Caesar invented the leap year calendar in 10 AD.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""Julius Caesar introduced the Julian calendar in 45 BCE, which included a leap year rule, but it was not invented in 10 AD""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,The Berlin Wall was built in 1945.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""The Berlin Wall was actually built in 1961, not 1945.""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,Albert Einstein failed mathematics in university.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""Einstein excelled in mathematics during his university years""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,Cleopatra was born in Rome.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""Cleopatra was a member of the Ptolemaic dynasty, which ruled Egypt after the death of Alexander the Great. Historical records indicate she was born in Alexandria, Egypt, not Rome.""}"
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,Llama-4-Maverick-17B-128E-Instruct-FP8,The United Nations was founded in 1910.,fake,false,high,correct_rejection,"{""verdict"": ""false"", ""confidence"": ""high"", ""explanation"": ""The United Nations was actually founded in 1945, after World War II.""}"
